Date Time,Open,High,Low,Close,Volume,Adj Close
2007-01-03 00:00:00,142.25,142.860001,140.570007,141.369995,94807600,113.757523
2007-01-04 00:00:00,141.229996,142.050003,140.610001,141.669998,69620600,113.99894
2007-01-05 00:00:00,141.330002,141.399994,140.380005,140.539993,76645300,113.089668
2007-01-08 00:00:00,140.820007,141.410004,140.25,141.190002,71655000,113.61264
2007-01-09 00:00:00,141.309998,141.600006,140.399994,141.070007,75680100,113.516121
2007-01-10 00:00:00,140.580002,141.570007,140.300003,141.539993,72428000,113.894279
2007-01-11 00:00:00,141.580002,142.619995,141.5,142.160004,54476800,114.393211
2007-01-12 00:00:00,142.149994,143.240005,142.110001,143.240005,55370600,115.262291
2007-01-16 00:00:00,143.070007,143.440002,142.729996,142.960007,44871300,115.036957
2007-01-17 00:00:00,142.850006,143.460007,142.729996,143.020004,50241400,115.085243
2007-01-18 00:00:00,143.169998,143.259995,142.309998,142.539993,68177300,114.698997
2007-01-19 00:00:00,142.539993,143.100006,142.460007,142.820007,56973000,114.924278
2007-01-22 00:00:00,143.070007,143.100006,141.929993,142.380005,60253600,114.570213
2007-01-23 00:00:00,142.259995,143.080002,142.059998,142.800003,54064400,114.908173
2007-01-24 00:00:00,142.970001,143.979996,142.910004,143.949997,55834700,115.83358
2007-01-25 00:00:00,143.860001,143.919998,142.009995,142.259995,73583800,114.473648
2007-01-26 00:00:00,142.570007,142.649994,141.580002,142.130005,67255600,114.369057
2007-01-29 00:00:00,142.190002,142.800003,141.740005,142.050003,66114600,114.304688
2007-01-30 00:00:00,142.350006,142.860001,142.059998,142.789993,70407600,114.900101
2007-01-31 00:00:00,142.630005,144.130005,142.399994,143.75,91868600,115.672653
2007-02-01 00:00:00,144.149994,144.660004,143.910004,144.610001,69312400,116.364677
2007-02-02 00:00:00,144.729996,144.949997,144.380005,144.809998,49607000,116.525558
2007-02-05 00:00:00,144.699997,144.940002,144.339996,144.850006,45705300,116.557785
2007-02-06 00:00:00,144.970001,145.029999,144.330002,144.889999,57081300,116.589973
2007-02-07 00:00:00,145.119995,145.360001,144.570007,145.210007,55669700,116.847504
2007-02-08 00:00:00,144.779999,145.119995,144.270004,145.020004,70641000,116.69458
2007-02-09 00:00:00,145.059998,145.330002,143.389999,143.940002,79084400,115.825539
2007-02-12 00:00:00,143.940002,144.039993,143.190002,143.449997,65657000,115.431229
2007-02-13 00:00:00,143.770004,144.899994,143.759995,144.660004,64081800,116.404884
2007-02-14 00:00:00,144.800003,145.899994,144.779999,145.610001,66039400,117.169365
2007-02-15 00:00:00,145.669998,145.949997,145.429993,145.800003,38715200,117.32225
2007-02-16 00:00:00,145.440002,145.759995,145.229996,145.729996,39841800,117.2659
2007-02-20 00:00:00,145.559998,146.199997,145,146.039993,56911800,117.515388
